House Title,House Subtitle,Contractor,Address,Phone Number,Amount,Bedrooms,Bathrooms,Toilets,Parking Space,Link
Luxury 4 Bedroom Duplex In A Safe Environment,4 bedroom detached duplex for sale,Chyglosco Homes,"Nsirim Road Off, Ada George Road., Port Harcourt, Rivers",09025567055,"₦85,000,000",4,930,930,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1718007-luxury-4-bedroom-duplex-in-a-safe-environment
A Detached Three (3) Bedroom Bungalow,3 bedroom detached bungalow for sale,Obum Okoli & Partners,"Off Nta - Ozuoba Road By Cornerstone, Port Harcourt, Rivers",08061675102,"₦23,000,000",3,3,4,3,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1718360-a-detached-three-3-bedroom-bungalow
A Block Of Two Units Of Luxury 2 Bedroom Apartments With C Of O,4 bedroom house for sale,Obum Okoli & Partners,"At Ivory Height Garden Estate Eneka Link Road, Port Harcourt, Rivers",08061675102,"₦72,000,000",4,4,6,5,https:/for-sale/houses/rivers/port-harcourt/1718335-a-block-of-two-units-of-luxury-2-bedroom-apartments-with-c-of-o
Luxury 5 Bedroom Duplex In A Gated & Secured Estate,5 bedroom detached duplex for sale,Chyglosco Homes,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",09025567055,"₦210,000,000,000",5,,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1698326-luxury-5-bedroom-duplex-in-a-gated-secured-estate
Superbly Finished 4 Bedroom Terrace Duplex,4 bedroom terraced duplex for sale,Life Hedge Resources,"Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦55,000,000",4,4,5,3,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1714388-superbly-finished-4-bedroom-terrace-duplex
Brand New Elegant 4 Bedrooms Terrace Duplex In A Secured Estate,4 bedroom terraced duplex for sale,Oak Properties,"Suncity Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦65,000,000",4,4,5,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1713896-brand-new-elegant-4-bedrooms-terrace-duplex-in-a-secured-estate
Luxury 6 Bedroom Executive Duplex With Swimming Pool,6 bedroom detached duplex for sale,Omoba Solomon & Patners,"Naf Harmony Estate, Port Harcourt, Rivers",08030881572,"₦250,000,000",6,7,7,600,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1711378-luxury-6-bedroom-executive-duplex-with-swimming-pool
Beautifully Built And Standard 4bedroom Bungalow,4 bedroom detached bungalow for sale,Alnorac,"Eneka, Port Harcourt, Rivers",+2348136454243,"₦27,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1710040-beautifully-built-and-standard-4bedroom-bungalow
Nicely Built 3 Bedroom Bungalow,3 bedroom detached bungalow for sale,Alnorac,"By Nta, Port Harcourt, Rivers",+2348136454243,"₦25,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1671571-nicely-built-3-bedroom-bungalow
Brand New 3 Bedroom Detached House,3 bedroom detached duplex for sale,Life Hedge Resources,"Off Eneka Road, Rumuoduru, Eneka, Port Harcourt, Rivers",08057258957,"₦50,000,000",3,3,4,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eneka/1703678-brand-new-3-bedroom-detached-house
Standard 4 Bedroom Duplex And 2 Flats,4 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦80,000,000",4,465,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1695587-standard-4-bedroom-duplex-and-2-flats
Magnificently Built And Luxuriously Finished 4 Bedroom House,4 bedroom terraced duplex for sale,Life Hedge Resources,"Off Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08057258957,"₦85,000,000",4,4,5,8,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1695536-magnificently-built-and-luxuriously-finished-4-bedroom-house
Newly Built 3 Bedrooms Bungalow And 1 Bedroom Bungalow With 2 Shops,3 bedroom detached bungalow for sale,Alnorac,"Eneka Road, Rukpokwu, Port Harcourt, Rivers",+2348136454243,"₦30,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rukpokwu/1693376-newly-built-3-bedrooms-bungalow-and-1-bedroom-bungalow-with-2-shops
Exquisitely Finished Four (4) Bedroom Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Off Rumuokwurusi Road, Eneka, Port Harcourt, Rivers",+2348177766119,"₦36,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1637562-exquisitely-finished-four-4-bedroom-bungalow
4 Bedrooms Duplex On Half Plot In A Serene & Secure Vicinity,4 bedroom detached duplex for sale,Oak Properties,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦68,000,000",4,4,5,3,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1687871-4-bedrooms-duplex-on-half-plot-in-a-serene-secure-vicinity
Brand New Super Luxury 5 Bedroom Duplex,5 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦155,000,000",5,5,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1614127-brand-new-super-luxury-5-bedroom-duplex
Nicely Finished 5-bedroom Fully Detached Duplex With 2-sitting Rooms,5 bedroom detached duplex for sale,Wapel Nigeria Limited,"Port Harcourt, Rivers",08099444251,"₦55,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1681384-nicely-finished-5-bedroom-fully-detached-duplex-with-2-sitting-rooms
Exquisitely Finished 4 Bedroom Detached Bungalow,4 bedroom detached bungalow for sale,Bluehedge Realtors,"Okporo Road, Port Harcourt, Rivers",+2348177766119,"₦25,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1673460-exquisitely-finished-4-bedroom-detached-bungalow
"Well Located, Solidy Built And Furnished 6 Bedroom Detached Duplex",6 bedroom detached duplex for sale,Bluehedge Realtors,"Federal Housing Estate, Agip, Port Harcourt, Rivers",+2348177766119,"₦50,000,000",6,5,7,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1674042-well-located-solidy-built-and-furnished-6-bedroom-detached-duplex
4 Bedroom Bungalow In A Serene Environment,4 bedroom detached bungalow for sale,Aito Properties Ltd,"Off Okporo Road, Rumuodara, Port Harcourt, Rivers",09060587316,"₦25,000,000",4,4,5,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuodara/1671712-4-bedroom-bungalow-in-a-serene-environment
Nicely Built And Furnished 3 Bedrooms Bungalow With A Swimming Pool,3 bedroom detached bungalow for sale,Alnorac,"Egbelu, Port Harcourt, Rivers",+2348136454243,"₦80,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1671596-nicely-built-and-furnished-3-bedrooms-bungalow-with-a-swimming-pool
80% Completed 4 Bedroom With 2 Sitting Rooms,4 bedroom detached duplex for sale,Alnorac,"Ozuoba, By Corner Stone, Port Harcourt, Rivers",+2348136454243,"₦25,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1671563-80-completed-4-bedroom-with-2-sitting-rooms
Fully Completed 5 Bedroom Duplex,5 bedroom detached duplex for sale,Mentom Global Services Limited,"Sars Road, Port Harcourt, Rivers",07034438300,"₦38,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1668713-fully-completed-5-bedroom-duplex
Furnished Contemporary 4 Bedrooms Duplex In A Secured Vicinity,4 bedroom detached duplex for sale,Oak Properties,"Golf Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦140,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1626469-furnished-contemporary-4-bedrooms-duplex-in-a-secured-vicinity
3 Units Of 4 Bedrooms Duplexes In A Secured Estate,4 bedroom terraced duplex for sale,Oak Properties,"Royal Avenue Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦160,000,000",4,4,5,848,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1624800-3-units-of-4-bedrooms-duplexes-in-a-secured-estate
Property In A Secure Estate,3 bedroom terraced duplex for sale,Oak Properties,"Parkland Estate, Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦140,000,000",3,3,4,6,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/trans-amadi/1634036-property-in-a-secure-estate
Luxury 4 Bedroom Duplex,4 bedroom house for sale,Mentom Global Services Limited,"Off Peter Odili, Port Harcourt, Rivers",07034438300,"₦75,000,000",4,4,5,4,https:/for-sale/houses/rivers/port-harcourt/1663710-luxury-4-bedroom-duplex
7 Units Of 3 Bedroom Flats In A Serene Environment,Block of flats for sale,Chyglosco Homes,"Nwanwa Street, Eligbolo, Eliozu, Port Harcourt, Rivers",09025567055,"₦80,000,000","1,860","1,860",,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/eliozu/1660491-7-units-of-3-bedroom-flats-in-a-serene-environment
Luxury Built 3 Bedroom Bungalow,3 bedroom house for sale,Mentom Global Services Limited,"Rumuekini, Port Harcourt, Rivers",07034438300,"₦35,000,000",3,3,4,5,https:/for-sale/houses/rivers/port-harcourt/rumuekini/1658688-luxury-built-3-bedroom-bungalow
"9 Units Of 1 Bedroom, 4 Bedroom Duplex And Self Contain",9 bedroom house for sale,Mentom Global Services Limited,"Off Nta Choba Road, Port Harcourt, Rivers",07034438300,"₦200,000,000",9,9,18,10,https:/for-sale/houses/rivers/port-harcourt/1614859-9-units-of-1-bedroom-4-bedroom-duplex-and-self-contain
Exotic And Tastefully Finished 4 Bedroom Detached Duplex,4 bedroom house for sale,Bluehedge Realtors,"Ameachi School Off Obirikwerre Fly Over, Port Harcourt, Rivers",+2348177766119,"₦37,000,000",4,4,5,4,https:/for-sale/houses/rivers/port-harcourt/1591244-exotic-and-tastefully-finished-4-bedroom-detached-duplex
Stunning And Luxuriously Furnished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦140,000,000",4,4,5,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1632680-stunning-and-luxuriously-furnished-4-bedroom-detached-duplex
American Standard 4 Bedroom Detached Duplex With Bq,4 bedroom detached duplex for sale,Eduphil Properties,"Shell Cooperative Estate Off G U Akeh Road, Eneka, Port Harcourt, Rivers",08075306696,"₦160,000,000",4,4,5,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eneka/1651172-american-standard-4-bedroom-detached-duplex-with-bq
Exotic And Tastefully Finished 2 Bedroom Detached Bungalow With Bq,2 bedroom detached bungalow for sale,Bluehedge Realtors,"Amaechi School Road, Rumuosi, Port Harcourt, Rivers",+2348177766119,"₦22,000,000",2,2,3,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuosi/1645478-exotic-and-tastefully-finished-2-bedroom-detached-bungalow-with-bq
Contemporary 4 Bedroom Duplex In A Good Location,4 bedroom detached duplex for sale,Aito Properties Ltd,"Peter Odili Road, Trans Amadi, Port Harcourt, Rivers",09060587316,"₦120,000,000",4,4,5,8,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1646117-contemporary-4-bedroom-duplex-in-a-good-location
American Standard 4 Bedroom Duplex,4 bedroom detached duplex for sale,Eduphil Properties,"Odili Road, Trans Amadi, Port Harcourt, Rivers",08075306696,"₦140,000,000",4,5,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1644309-american-standard-4-bedroom-duplex
Modest 2 Bedroom Detached Bungalow,2 bedroom detached bungalow for sale,Bluehedge Realtors,"Off Redeemed Camp, Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦10,000,000",2,2,2,2,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rukpokwu/1636716-modest-2-bedroom-detached-bungalow
Exquisitely Finished Seven (7) Bedroom Detached Duplex,7 bedroom detached duplex for sale,Bluehedge Realtors,"Elimgbu, Port Harcourt, Rivers",+2348177766119,"₦120,000,000",7,7,7,5,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1636711-exquisitely-finished-seven-7-bedroom-detached-duplex
A 3 Bedroom Bungalow With Study Room And 1 Bedroom Bungalow,3 bedroom detached bungalow for sale,Obomese Global Properties,"Hossana Estate, Off Rukpukwu Eneka Road, Rukpokwu, Port Harcourt, Rivers",07060682678,"₦40,000,000",3,4,4,6,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rukpokwu/1628404-a-3-bedroom-bungalow-with-study-room-and-1-bedroom-bungalow
Exquisitely Finished And Furnished Five (5) Bedroom Detached Duplex,5 bedroom detached duplex for sale,Bluehedge Realtors,"Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦60,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/rukpokwu/1623836-exquisitely-finished-and-furnished-five-5-bedroom-detached-duplex
Newly Built 3 Bedroom Bungalow,3 bedroom detached bungalow for sale,Chairman,"Off Eze Toa Ejekwu Road, Stream View Estate, Atali, Port Harcourt, Rivers",+2347035100001,"₦12,000,000",3,3,4,1,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1630575-newly-built-3-bedroom-bungalow
"5 Bedroom Detached Duplex With 1 Bedroom Bq, A Library And A Gym House",5 bedroom detached duplex for sale,Alnorac,"Agip Estate Extension, Port Harcourt, Rivers",+2348136454243,"₦65,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1618936-5-bedroom-detached-duplex-with-1-bedroom-bq-a-library-and-a-gym-house
Finished And Furnished 5 Bedroom Duplex In A Serene And Secured Estate,5 bedroom detached duplex for sale,Alnorac,"Peter Odili Road, Port Harcourt, Rivers",+2348136454243,"₦100,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1618929-finished-and-furnished-5-bedroom-duplex-in-a-serene-and-secured-estate
Exotic And Tastefully Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Elelenwo, Port Harcourt, Rivers",+2348177766119,"₦30,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elelenwo/1591238-exotic-and-tastefully-finished-4-bedroom-detached-duplex
Tastefully Finished Six Units Of 2 Room & Two Units Of 3 Bedroom Flat,8 bedroom block of flats for sale,Bluehedge Realtors,"Sars Road, Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦95,000,000",8,8,9,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rukpokwu/1606650-tastefully-finished-six-units-of-2-room-two-units-of-3-bedroom-flat
Luxurious And Tastefully Finished 4 Bedroom Detached Duplex,4 bedroom detached duplex for sale,Bluehedge Realtors,"Off Peter Odili Road, Port Harcourt, Rivers",+2348177766119,"₦70,000,000",4,4,5,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1610674-luxurious-and-tastefully-finished-4-bedroom-detached-duplex
Uncompleted 4 No Of 2 Bedroom Flat And A Duplex,8 bedroom house for sale,Mentom Global Services Limited,"Unity Estate Rumuoduru Port Harcourt, Port Harcourt, Rivers",07034438300,"₦40,000,000",8,8,9,,https:/for-sale/houses/rivers/port-harcourt/1615058-uncompleted-4-no-of-2-bedroom-flat-and-a-duplex
Block Of Flats,Block of flats for sale,Ph Houses,"Okporo Road, Rumuodara, Port Harcourt, Rivers",08034712613,"₦80,000,000",10,10,486,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1609159-block-of-flats
Luxurious And Tastefully Finished 4 Bedroom Duplex With B. Q,4 bedroom detached duplex for sale,Bluehedge Realtors,"Shell Cooperative / Pearl Garden Estate Eliozu, Port Harcourt, Rivers",+2348177766119,"₦150,000,000",4,4,5,6,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1601152-luxurious-and-tastefully-finished-4-bedroom-duplex-with-b-q
4 Bedroom Bungalow With Modern Facilities,4 bedroom detached bungalow for sale,Obomese Global Properties,"Rumucholu, Eneka, Port Harcourt, Rivers",07060682678,"₦19,000,000",4,5,5,465,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1608762-4-bedroom-bungalow-with-modern-facilities
Modest 3 Bedroom Detached Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Rukpokwu, Port Harcourt, Rivers",+2348177766119,"₦12,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rukpokwu/1596359-modest-3-bedroom-detached-bungalow
A Semi Housing Estate,8 bedroom block of flats for sale,Nnendu Homes & Properties Limited,"Port Harcourt, Rivers",07067916243,"₦150,000,000",8,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1599203-a-semi-housing-estate
2 Bedroom Bungalow Of More Than Half Plot Of Land,2 bedroom detached bungalow for sale,Gentle Breeze Real Estate Company,"Rumuekini, Port Harcourt, Rivers",+2348065321831,"₦8,000,000",2,2,3,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuekini/1598944-2-bedroom-bungalow-of-more-than-half-plot-of-land
Well Finished Standard 2 Bedroom Bungalow In A Serene Environment,2 bedroom detached bungalow for sale,Aito Properties Ltd,"Rumuekini, Port Harcourt, Rivers",09060587316,"₦8,000,000",2,2,3,5,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/rumuekini/1595689-well-finished-standard-2-bedroom-bungalow-in-a-serene-environment
A 5 Bedroom Duplex With Green Area In The Compound,5 bedroom detached duplex for sale,Obomese Global Properties,"Off G U Ake Road, Eliozu, Port Harcourt, Rivers",07060682678,"₦60,000,000",5,6,6,10,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/eliozu/1592090-a-5-bedroom-duplex-with-green-area-in-the-compound
Exquisitely Built 4 Bedrooms Duplex,4 bedroom semi-detached duplex for sale,Life Hedge Resources,"Naf Harmony Estate, Eliozu, Port Harcourt, Rivers",08057258957,"₦85,000,000",4,4,5,4,https:/for-sale/houses/semi-detached-duplexes/rivers/port-harcourt/eliozu/1591325-exquisitely-built-4-bedrooms-duplex
Tastefully Finished 3 Bedroom Detached Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Eneka, Port Harcourt, Rivers",+2348177766119,"₦20,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1589824-tastefully-finished-3-bedroom-detached-bungalow
Furnished 5 Bedrooms Duplex In A Secured & Prestigious Estate,5 bedroom detached duplex for sale,Oak Properties,"Peter Odili Road, Royal Palm Estate, Somitel, Trans Amadi, Port Harcourt, Rivers",08063105936,"₦160,000,000",5,5,6,4,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/trans-amadi/1574718-furnished-5-bedrooms-duplex-in-a-secured-prestigious-estate
2 Blocks Of 9 Flats,Block of flats for sale,09036286068,"Off Pyschiatric Road Omoi/orosi, Rumuomoi, Port Harcourt, Rivers",09036286068,"₦49,000,000",,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuomoi/1583345-2-blocks-of-9-flats
3 Bedroom Duplex With Bq,3 bedroom detached duplex for sale,Rentahome & Associates Integrated Company Ltd,"Gbalajam (saltex Road), Woji, Port Harcourt, Rivers",08036795147,"₦55,000,000",3,4,5,2,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1793697-3-bedroom-duplex-with-bq
4 Unit Of 2 Bedroom Flat,2 bedroom block of flats for sale,Donhilz Global Service,"Rumuigbo, Port Harcourt, Rivers",+2347064818968,"₦40,000,000",2,3,6,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/rumuigbo/1786564-4-unit-of-2-bedroom-flat
Luxury 5 Bedroom Terrace Duplexes,5 bedroom terraced duplex for sale,Chyglosco Homes,"Trans Amadi Peter Odili Road, Port Harcourt, Rivers",09025567055,"₦80,000,000",5,5,,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1783390-luxury-5-bedroom-terrace-duplexes
Standard 4-bedroom House,4 bedroom detached bungalow for sale,Arobix I.b.l,"Akpos Road, Abuloma, Port Harcourt, Rivers",08140758726,"₦40,000,000",4,4,4,6,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/abuloma/1782266-standard-4-bedroom-house
Luxury 5 Bedroom Detached Duplex,5 bedroom detached duplex for sale,Chyglosco Homes,"Kings View Estate, Eliozu, Port Harcourt, Rivers",09025567055,"₦150,000,000",5,5,"1,163","1,163",https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1781927-luxury-5-bedroom-detached-duplex
4 Units Of Uncompleted 2 Bedroom Flats In An Estate,2 bedroom detached bungalow for sale,Alnorac,"Cedarwood Estate, Port Harcourt, Rivers",+2348136454243,"₦18,000,000",2,2,3,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1779798-4-units-of-uncompleted-2-bedroom-flats-in-an-estate
Standard 6 Units Of 2 Bedrooms Flats With Extra 2 Plots Of Vacant Land,2 bedroom block of flats for sale,Alnorac,"Majesty Estate, Behind Nta, Port Harcourt, Rivers",+2348136454243,"₦72,000,000",2,2,3,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1779792-standard-6-units-of-2-bedrooms-flats-with-extra-2-plots-of-vacant-land
7 Bedroom Carcass Duplex,7 bedroom detached duplex for sale,Oandmproperty,"Harmony Estate, Obio-Akpor, Rivers",07036922824,"₦170,000,000",7,7,7,3,https:/for-sale/houses/detached-duplexes/rivers/obio-akpor/1776782-7-bedroom-carcass-duplex
6 Bedroom Bungalow Use For School,6 bedroom detached duplex for sale,Obomese Global Properties,"Housing Estate, Woji, Port Harcourt, Rivers",07060682678,"₦50,000,000",6,7,7,9,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1773581-6-bedroom-bungalow-use-for-school
Sophisticated Luxuriously Built Duplex With Inverter,4 bedroom detached duplex for sale,Dpac Realty,"Peter Odili Road, Port Harcourt, Rivers",+2349035777077,"₦95,000,000",4,,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/1771745-sophisticated-luxuriously-built-duplex-with-inverter
5 Bedroom Duplex With A Bq,5 bedroom detached duplex for sale,Uju Properties,"Elijiji, Woji, Port Harcourt, Rivers",08162129872,"₦60,000,000",5,,,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/woji/1765000-5-bedroom-duplex-with-a-bq
A Well Built Block Of Four (4 Nos.) Of Two Bedroom Flats,8 bedroom block of flats for sale,Obum Okoli & Partners,"Freedom Estate, Off Sars Road, Port Harcourt, Rivers",08061675102,"₦45,000,000",8,8,12,7,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1531113-a-well-built-block-of-four-4-nos-of-two-bedroom-flats
6 Units Of 2 Bedroom Terrace Duplex,2 bedroom terraced duplex for sale,Alnorac,"Apart Link Road, Nta, Port Harcourt, Rivers",+2348136454243,"₦62,000,000",2,2,3,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1731066-6-units-of-2-bedroom-terrace-duplex
12 Rooms Of Spacious And Functional Guest House On A 2 And Half Plots,12 bedroom detached bungalow for sale,Alnorac,"Azunda Close, Off Chinda Road, Rumuepirikom, Port Harcourt, Rivers",+2348136454243,"₦52,000,000",12,12,13,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1731027-12-rooms-of-spacious-and-functional-guest-house-on-a-2-and-half-plots
3 Blocks Of 3 Bedrooms Block Of Flat,Block of flats for sale,Realtor Emeka,"No. 17/19 Winpey Rd, Iwofe,, Port Harcourt, Rivers",08130603838,"₦400,000,000",,,,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1727885-3-blocks-of-3-bedrooms-block-of-flat
Luxury 4 Bedrooms Bungalow,4 bedroom house for sale,Mentom Global Services Limited,"Rumuodara, Off Chetta Road, Port Harcourt, Rivers",07034438300,"₦28,000,000",4,4,5,4,https:/for-sale/houses/rivers/port-harcourt/1726317-luxury-4-bedrooms-bungalow
Standard Newly Built 3 Bedroom Bungalow Inside Royal Estate,3 bedroom detached bungalow for sale,Alnorac,"Royal Estate, Eneka, Port Harcourt, Rivers",+2348136454243,"₦22,000,000",3,3,4,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/eneka/1715996-standard-newly-built-3-bedroom-bungalow-inside-royal-estate
Luxury 4 Bedroom Terrace House With A Beautiful Garden Layout,4 bedroom terraced duplex for sale,Propertieswithay,"3 Chiorlu Street,eneka/elimbu Road, Elimbu, Port Harcourt, Rivers",08033400182,"₦85,000,000",4,4,4,6,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/elimbu/1709530-luxury-4-bedroom-terrace-house-with-a-beautiful-garden-layout
Nicely Built And Spacious 9 Units Of 2 Bedroom Block Of Flats,9 bedroom block of flats for sale,Bluehedge Realtors,"Rumuaghorlu, Port Harcourt, Rivers",+2348177766119,"₦80,000,000",9,9,12,,https:/for-sale/houses/block-of-flats/rivers/port-harcourt/1683031-nicely-built-and-spacious-9-units-of-2-bedroom-block-of-flats
"Executive 3 Bedroom Bungalow With Undeveloped 1/2 Plot, Fence And Gate",3 bedroom house for sale,07031009906,"Shell Flow Station, 30 Mins Drive From Eleme Junction., Oyigbo, Rivers",07031009906,"₦30,000,000",3,3,4,648,https:/for-sale/houses/rivers/oyigbo/1690116-executive-3-bedroom-bungalow-with-undeveloped-12-plot-fence-and-gate
Well Built 5bedroom Detached Duplex,5 bedroom detached duplex for sale,Alnorac,"Elimbu, Port Harcourt, Rivers",+2348136454243,"₦37,000,000",5,5,6,,https:/for-sale/houses/detached-duplexes/rivers/port-harcourt/elimbu/1689662-well-built-5bedroom-detached-duplex
Beautiful And Spacious 7 Bedrooms Detached Duplex,7 bedroom detached duplex for sale,Alnorac,"Close To Intel And Tiber Market Port Harcourt, Oyigbo, Rivers",+2348136454243,"₦35,000,000",7,7,8,,https:/for-sale/houses/detached-duplexes/rivers/oyigbo/1689652-beautiful-and-spacious-7-bedrooms-detached-duplex
"A Big School Comprising Of Nursery ,primary And Secondary",50 bedroom house for sale,Michfranco Enterprises,"Woji, Woji, Port Harcourt, Rivers",08137964976,"₦600,000,000",50,50,"30,000","30,000",https:/for-sale/houses/rivers/port-harcourt/woji/1689561-a-big-school-comprising-of-nursery-primary-and-secondary
Uncompleted Bedroom Duplex With Terrace By The Side,4 bedroom terraced duplex for sale,09021026247,"Corner Stone Road., Port Harcourt, Rivers",09021026247,"₦40,000,000",4,900,,,https:/for-sale/houses/terraced-duplexes/rivers/port-harcourt/1685929-uncompleted-bedroom-duplex-with-terrace-by-the-side
Standard 4 Bedroom Bungalow With Very Spacious Compound,4 bedroom detached bungalow for sale,Alnorac,"Rukpokwu, Port Harcourt, Rivers",+2348136454243,"₦23,000,000",4,4,5,,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1674522-standard-4-bedroom-bungalow-with-very-spacious-compound
Luxurious And Tastefully Finished 3 Bedrooms Detached Bungalow,3 bedroom detached bungalow for sale,Bluehedge Realtors,"Eneka, Port Harcourt, Rivers",+2348177766119,"₦25,000,000",3,3,4,4,https:/for-sale/houses/detached-bungalows/rivers/port-harcourt/1674192-luxurious-and-tastefully-finished-3-bedrooms-detached-bungalow
